learnRate mediaAcertos assertividade
0.01 49.63333333333333 0.9926666666666667
0.02 49.766666666666666 0.9953333333333333
0.03 49.8 0.996
0.04 49.63333333333333 0.9926666666666667
0.05 49.96666666666667 0.9993333333333334
0.06 49.93333333333333 0.9986666666666666
0.07 49.86666666666667 0.9973333333333333
0.08 49.86666666666667 0.9973333333333333
0.09 49.9 0.998
0.1 49.9 0.998
0.2 49.9 0.998
0.3 49.9 0.998
0.4 49.8 0.996
0.5 49.93333333333333 0.9986666666666666
0.6 49.93333333333333 0.9986666666666666
0.7 49.833333333333336 0.9966666666666667
0.8 50.0 1.0
0.9 49.93333333333333 0.9986666666666666
1.0 49.7 0.9940000000000001
